"oldname","pretty","order"
"respid","Respondent ID",
"gender","Gender",
"race","Race",
"race2","Race (Black vs. Not)",
"ed","Education",
"age","Age",
"cohort","Cohort",
"pollid","Poll ID",
"state_alpha2","State",
"regionDC","Region (w/ DC)",
"region","Region",
"division","Division",
"year","Year",
"weights","Weights",
